	2562
Richard Stevens	127668
N. M. Frew	45606
Shmuel Weinberger	17518
Hongzi Zhu	110701
A. N. Eden	163579
Benxiong Huang	21172
David Kwan	159193
Lichang Che	135192
Jan Paseka	58095
Nameeta Shah	81493
Winser E. Alexander	48261
Mahmoud Ahmadian-Attari	159243
Ernst-Walter Knapp	87626
Hao Zheng	69604
Isabel Gonzalo-Fonrodona	65908
Makiko Suzuki	109070
Prakash P. Shenoy	51782
Toshiharu Hasegawa	127138
Yosef E. Maruvka	104257
David T. Gibson	126385
P. Vezza	71137
Liron Yedidsion	123626
Uvais Qidwai	4115
M. Peifer	85432
Éric Debreuve	4604
Adam Grzech	110967
Gianni De Fabritiis	103699
P. Frank Pai	11269
Guan-Ming Chen	65473
Giuseppe Cattaneo	123723
Huan Zhang	89537
Martino Alessandrini	6420
Pongsin Poosankam	146129
Robert G. Harrison	69348
Olivier Avaro	45415
Chang-Hwan Son	23246
Gordon C. Osbourn	40270
Ning Shi	53320
Sunghyung Kong	84770
Ching-Sheng Hsu	149641
Paul Mangiameli	51691
Fengsui Zhu	58924
B. G. Williams	31799
Cor J. Veenman	2982
Falko Schindler	34505
Andrew Gilbert	38371
C. K. Hui	142761
K. G. Subramanian	40264
Alexis Dereeper	94238
Emmett O'Loughlin	32776
Tung-Tso Tsai	130547
Alemayehu Seyoum	159169
Maneesh Sahani	35553
Manfred K. Lang	59970
Etienne Dombre	107781
Kathleen Neumann	73661
V. Venkateshwaran	136873
W. T. Sloan	31294
Sally Smith	74671
Klaus R. Pawelzik	64965
Yi-Hsien Lin	48982
Michelle Effros	950
Mark G. Eramian	24789
Tain-Lieng Kao	159519
Stephen Ueng	87073
David Withers	95672
Christopher H. Schmid	99065
Hsing-Yen Ann	45156
Paul M. G. Emmelkamp	72336
Jianxi Liu	123520
Kunhao Zhou	38129
Sun-Yuan Kung	623
Robbie P. Joosten	90603
Yu Shiwen	58407
Donald M. Engelman	84564
Willibald A. Günthner	24768
Marcel Egea	145497
P. G. Overton	63522
Yongkun Li	58151
Hector Sanchez-Villeda	77652
Shaoliang Peng	110383
Ralf Plänkers	26338
Sairul I. Safie	143543
Richard Cam	159456
Robin Cohen	36671
Kuang-Chi Chen	76950
Shuang Wu	101244
Richard Cai	93338
Kejun Liu	79835
E. Muel	56112
Claudio V. Mello	65311
John Herbert	118040
Gilles Soulez	114324
Mehrzad Namvar	108219
Stefano Pallottino	47778
A. Shnayderman	2745
Antonio Cavallo	76834
Nick Hudson	81066
Vijay Kumar Adhikari	142433
Michael L. McIntyre	108512
P. Martin-Smith	69170
Guy Mathurin Kouamou Ntonfo	114048
Dmitri D. Perkins	131672
Chao-Jung Hsu	152305
Margaret Tan	29714
Elizabeth A. Gordon	102405
Anelia Somekh-Baruch	26005
Thomas A. Louis	87498
D. Parkinson	149070
Joan Zhang	89456
Jean Hennebert	14938
Stephen E. Diener	92906
David Randall	70438
Tatsuo Itoh	75436
Peter Arva	55359
Tianxi Liu	159470
Clark C. Freifeld	89703
Keith B. Godfrey	103489
Haixiu Yang	89409
R. Usha Nandini	141198
Lene Olsen	148929
Xiaoying Wang	150022
J. Christian Fritzsche	136978
X. Zhu	21835
Peng Wu	158187
Chien-Cheng Lee	111970
Gui-Li Tao	20672
Mazlita Mat-Hassan	128074
Owen T. Carmichael	33177
Ramesh Jain	12032
Riccardo Torlone	29249
C. V. Gale	80393
Alex Ksikes	84434
Thotsapon Sortrakul	45820
Roman Trobec	113862
Johann H. Schlichter	130021
George Caridakis	61629
Nir Naaman	117082
Mervi Heiskanen	82298
Joyce C. Wong	46720
Wei Fu	109660
James C. Browne	118133
Naoki Katoh	16463
K. Inoue	42581
Antoni Gasull	2051
Lorraine S. Baca	162718
Erich Rome	37681
Joline Morrison	29575
Jacques Guizol	15752
Nasser E. Idirene	126073
Si-feng Zhu	141151
Kehu Yang	133906
Sonia Fahmy	126565
Ciro Scognamiglio	101967
Xuanyuan Zheng	21994
Josep Sala	134324
Chin-Ming Yen	132241
Oleg Kiselyov	25834
Roberto C. Sotero	68349
Ralph M. Siegel	42774
Thorsten Smit	16339
Volkmar Lotz	145034
Yotam I. Gingold	8916
Serge S. Shumilov	28192
David Boland	13318
Dachuan Huang	154598
Jialiang Li	102048
Akbar M. Sayeed	132498
Ching-Yueh Kao	134284
Julie Roy	138913
Shangbing Gao	67138
Josep M. Gonfaus	34572
Hans Knutsson	19929
Jan Lukás	143137
Dariusz R. Kowalski	115654
Pawel Puslecki	61565
Stephen R. Dorling	43422
Julius Stroffek	66970
Somayeh Dodge	33056
Jan Gulliksen	71111
J. P. Maroy	46838
Shlomo Argamon-Engelson	39121
Mohannad Al-Khatib	55382
Srini Samudrala	156239
Dubravko Culibrk	5082
Marian Groenenboom	102676
Kendra Cooper	148846
Rolf Mueller	25392
Kiattisak Maichalernnukul	133298
Chia-Chong Chen	48126
Luis Marti	144303
Manyuan Shen	132016
Conrad Plake	83062
Herve Delingette	114996
Yiannis N. Kaznessis	85305
Lauri A. Aaltonen	83917
Hassan Abou Rajab	159827
Mandayam K. Srivas	118054
M. A. Friedman	67805
Ming-Ko Chiu	2953
Niels Grarup	100630
Cristina Baroglio	37499
Amit Rao	162270
Peter B. Papazian	159768
Raymond Knopp	18565
Gerd Richter	157191
J. Michael Cherry	76453
Simon R. Harris	90800
Chong-Sun Hwang	29045
Einar Petana	145622
Jinyao Yan	11873
Michael T. Crooks	106028
Frédéric Roulland	70500
E. V. Kopsacheilis	111966
Shengqin Wang	91691
S. C. Cheung	51776
Karlheinz H. Bers	44936
Christine Fricker	138996
Pirabhu Raman	156120
Md. Musfiquzzaman Akanda	153771
Marko Munih	72513
Ahmed-Jawad Qureshi	9403
S. George Djorgovski	29431
Manabu Otsuka	14063
Igor Velimirovic	134946
M. Vidrascu	161378
Vytas Kezys	140717
Daniel B. Neill	39995
Ari T. Alastalo	134268
Bruce W. Watson	36697
Christoforos Christoforou	35361
Valentin Rottmann	162357
Wing C. Kwong	131050
Rudolf H. Riedi	127473
Robert J. Hinde	162964
George Christodoulou	115962
Mateen-ud-Din Qazi	8802
M. Grigioni	77245
Xiuzhen Cheng	58977
Songhe Feng	21355
Jinfeng Kang	109652
Zhongguo Zheng	59784
Dingjun Lou	121893
Alexandra Golby	114876
Tian-Tsong Ng	34579
Ashok Kumar Das	145504
Jacob P. Somervell	71861
L. R. B. Schomaker	50240
Hervé Marchand	118495
I. Karthigeyan	142514
Michael P. Lawton	80653
Hiroshi Takenaga	40920
Karsten Ingmar Paul	37193
Leonardo B. Oliveira	20249
Alexandra Makri	118800
Fatemeh Zare-Mirakabad	97117
Serena Morigi	9136
Huigen Yang	38825
Jari Holopainen	75407
G. Altmann	15666
Abraham Duarte	59151
Ji-Won Moon	30253
Ryuta Ozawa	108414
Alex Quilici	37096
Yiftach Ravid	116511
Andrea Heinze	41711
Yongmei Michelle Wang	38157
Janis Lacis	127568
Lihua Yuan	128381
Rajesh Sudarsan	163146
J. M. Zucek	112230
Hitoshi Yamasaki	39957
Karin S. Kassahn	87584
Julian Newman	71127
Gavin Brelstaff	85915
Keiichi Mochida	87693
R. C. Agrawal	37437
Xuegui Song	133681
Penny N. Spring	52041
Joakim Gustafson	13437
Zhongyuan Zhao	134015
Pierre Sens	105690
Harvey H. Rubinovitz	144300
Gerhard Haßlinger	130172
Leena Peltonen	101704
Roland Orre	39531
Hanspeter Pfister	23984
Yoshifumi Yasuda	21049
Nara-Amparo Vila	55829
Chunling Ma	72056
Dinh Thai Hoang	134700
Hui Kian Ho	85618
Lin Cai	11422
Daniel Grobe Sachs	26045
Nigel G. Ward	16214
Giampaolo D'Alessandro	104895
L. Venkata Subramaniam	11972
Young Geon Yoo	158166
Ron Holyer	59648
Xavier Binefa	38950
Guochun Tang	121817
Claes Tidestav	159634
Corrado Bernasconi	67722
Paul Gorissen	146381
Myung Hyun Song	59619
Don J. Torrieri	42946
Fadi Jamal	114722
Reto Hermann	126320
Hai Hu	78288
Serge Smidtas	83522
Guillaume Pare	105854
Lixin Cao	7269
Pascal Urien	72750
Ching-Ting Yang	53528
Christian Bettstetter	130216
P. Tervola	162588
Dionysios A. Antonopoulos	106003
José Manuel Quesada-Rubio	22783
Daiyuan Peng	110416
David Kuilman	124920
Liangxi Qin	52275
Anastasios D. Doulamis	18501
Phillip Ein-Dor	29943
Charles A. Taylor	9719
Kensuke Matsumoto	96026
Aidan Lane	88713
Andrew Hemmaplardh	83706
Zhi-xin Li	102006
Sally Frutiger	115200
D. S. Roy	147203
Zhiqiang Zhang	31972
Clay Goldston	135288
Vladimir Sukhoy	108946
Chandrakant Maheshwari	119491
Doan Hoang	136037
D. Marcus	112874
Wolfgang Förstner	34506
Elaine M. Eschen	121245
Arnaud Droit	87537
Sun K. Yoo	112356
Thiago Comicio	147471
Joan Feigenbaum	115685
Katherine Munn	93219
Hissam Tawfik	27431
Shian-Chang Huang	55135
Geoffrey M. Underwood	44252
Jia-Bao Lin	154695
Hans Utz	107794
Y. Charlie Hu	107063
Shie-Jue Lee	111264
Aggelos Pikrakis	12438
Erik A. Hendriks	153321
Laura Frigerio	156869
Antony Holmes	105755
Ulrich Ultes-Nitsche	149391
Suk-Bok Lee	137651
Gregor Leban	77221
Christian Liebchen	122578
Michael van Hartskamp	149831
Andreas Lösch	71527
Sorin G. Nastea	25972
Xingwang Zhao	50413
David K. Krout	59116
Ashok Argent-Katwala	147338
Alexios Savvides	49110
Sander M. Bohte	40246
Fernanda Brandi	75356
Mark L. Gillenson	29986
Wolfgang K��chlin	160965
Jong-Bu Lim	133188
M. Schomisch	162214
Siti Norul Huda Sheikh Abdullah	62243
Juan Shi	5050
Xiao Yan	19380
Lerina Aversano	146967
Paola Spoletini	147250
John E. Beasley	83129
David S. Huen	99100
T. Andrew Au	134799
Gus Ferguson	99057
Alexander Heußner	124736
Manuel Díaz Carrillo	57972
Yungsoo Kim	159707
Gavin Lowe	144964
Gianluca Lodo	84333
Ikuo Nishioka	23774
Robert Denda	55094
Chase L. Beisel	105489
Han Sun	60377
Ha Duong Phan	120946
Kais Ben Fredj	134388
I. G. Macdonald	17203
Lars Wolff	68869
Yunfeng Yang	83076
Philippe Ciuciu	18516
Nicolas Van Wambeke	128902
Carl R. Nassar	132049
Jitendra K. Tugnait	2957
Ping Liu	67450
Riccardo Porreca	88004
Jun-Da Chen	132376
Akbar Ghaffarpour Rahbar	141031
Michael B. Casale	40918
Marianne Schmid Mast	13214
J. Mike Cumpstey	41604
Esther P. Black	77314
Shin-ya Nishizaki	124327
Katsuyoshi Kitai	155462
Huaxiang Zhang	57606
Vignyan Reddy Kothinti Naresh	164433
Eduardo Madrid	69491
George Venters	112264
Yoichi Murakami	80378
Steffen Maier	137645
Sandra Rodrigues	69384
Damien Ernst	35184
Steven M. Sine	102968
Christian Vaisse	93563
Christian Hentschel	26161
Zsolt Tuza	116093
Xuehua Zhang	133875
Albert T. P. So	59962
Charles Dossal	22118
Galen Reed	114366
Telemaco Melia	128640
Feixiang Yan	60615
Xiaoke Ma	109563
Aaron Striegel	127676
LiWu Chang	29224
Iosif I. Vaisman	81391
Naoki Saiwaki	107142
Lei Shu	142897
Jeffrey P. Townsend	88089
Alain Arneodo	103508
Maria Papadaki	144589
Emmanuel G. Collins Jr.	56579
Nicholas Shulman	87414
Jan Drugowitsch	39862
Somchan Vuthipadadon	97671
Malcolm D. Walkinshaw	88222
Sheng Tang	13089
Panayiotis Bozanis	150651
Menelaos I. Karavelas	8944
Samir Kallel	2009
Yumiko Uchiyama	64690
Matthew Wetherill	9656
Alexandros Iosifidis	38962
Hongsheng Li	38872
Ella Bounimova	154899
Debasish Bhaskar	62631
Mirna Lerotic	114982
Mary Vickerman	125363
Anne Canteaut	120906
David W. Mauro	121406
Geun-Bae Song	21001
Romain Veltz	68578
Tsvi Tlusty	105772
Ferda Nur Alpaslan	64513
Chao-Lung Chiang	110817
Y. T. Chen	125664
Juxin Huang	41585
Emma J. Rose	74425
Han-Jen Hsu	3647
P. Baylou	44857
Feng-Long Huang	13957
Nicolas Boissin	160992
J. Packer	111691
Kimmo Mäkeläinen	15027
David Taniar	29236
David L. Oppenheimer	155489
Rolando Menchaca-Mendez	32670
Rosa Rodriguez-Sánchez	45650
Jacob Shabi	28070
Tadahiro Kitahashi	11351
Maria T. Buenavista	92177
Linda L. Zhang	53690
Shi-Shui Zhou	89734
Javier Bracho	16377
Lauren Nielsen	143965
Kent Sandoe	30235
Neal Snooke	27603
Reba Moyer Childress	113259
Jinsung Kim	56451
Dilinur Wushour	10131
Lieven De Lathauwer	18533
Fernando Vázquez	126948
Miomir S. Stankovic	62664
M. Shridhar	15572
Dongxiao Zhu	82673
Jin Yu	35558
Mingjing Li	1183
Michael Dixon	152703
Jeffrey R. Sachs	76645
Hamid Soltanian-Zadeh	1480
Yves Lafont	119815
Juana Sendra	10440
Leif G. Salford	140419
Wai Kit Wong	65446
Verlyn Kroon	29881
Chandan Sastry	87779
M. Egg	70988
Jamie Snape	108934
Katsuki Katayama	41992
Junyan Qian	152229
Manfred Bathelt	125291
Ulrich Schmid	140778
Cem Ersoy	125587
T. S. Chua	136297
Samuel R. Buss	23267
Bertrand C. W. Tanner	104909
Carl-Johan H. Seger	118126
Henryk Plötz	145900
Narayanan Anantakrishnan	23301
R. Sriram	2828
Joel Galenson	163213
Wenbo Ma	98897
Nicola Bonzanni	86680
Dusan Húsek	41558
Luis Garcés-Erice	137472
Arnt-Børre Salberg	18903
Peter J. Giles	78053
Thomas Magedanz	126879
Parminder Kang	110396
Yonggang Du	125902
Chin Ann Ong	2270
Ryohei Ueda	75487
I. Hoonhorst	16167
Raymond T. Ng	79499
Robert J. Kauffman	30348
Mohammad Dakhilalian	146401
Ton Verschuren	125876
Jong-Jiann Shieh	163925
Patrice Quinton	161371
Alireza Attar	128669
Curt Schurgers	132074
Alan H. Beggs	93500
Wynne Hsu	7438
Zongwang Li	157232
Lily R. Liang	96335
Manos Roumeliotis	146688
Mayte Suárez-Fariñas	93774
Dong Sun Park	67504
Toshihiro Matsui	53952
Monica Monachini	101172
Elisa Furlan	32320
Schraga Schwartz	102835
Hoang-Lan Nguyen Thi	22659
William Shain	111540
Mauricio Rodriguez	134610
Mike Ashworth	160648
Romulo Pinho	114395
Lukas Endler	86252
Ulrich Wechselberger	25163
Stephen A. Smith	84722
Francis Klay	117951
Bart Maessen	31688
R. F. Graveman	11864
Øivind Skare	86852
Anneke van der Reijden	98911
Seppo Leppaevuori	132560
Hiroaki Naito	45348
Arash Asadpour	116065
Jeffrey A. Fessler	978
A. Maglara	47265
Kaye E. Basford	101769
Xiangrong Zhang	23032
Noa Zilberman	130451
Hong Wen	109628
Kai Kwong Lam	46587
Amy K. Hara	61650
Nicholas A. Stover	100985
Klaus Schneider	118099
Maria Virvou	71413
Ed Bruckert	14461
Cory Ip	73143
Shava Smallen	155939
J. A. Thompson	135076
Matthias Grajewski	162941
Vinod Kone	142430
Lei Zhu	3886
Jay H. Konieczka	97222
Dorian Mazauric	117482
Kathrin Meissner	77178
Jean-Marc Pitie	148150
Chi-Cheng Peter Chu	6889
Svilen Dimitrov	159254
Didier Chincholle	73412
Tom Pfeifer	136605
Gregory C. Smith	28089
Ruedi Stoop	67724
Eric Martz	78094
Mohammed Benayade	122774
Su S. Chen	642
J. Mark Cock	95378
Eric Sven Ristad	26021
Xinrui Liu	57625
M. Subrahmanyam	22653
Demosthenes Akoumianakis	71139
Ratnakar Sonthi	7217
Yao Nie	2261
Begoña Pino	64347
Claudio Lamberti	112172
José de Jesús Rubio	65387
Duncan Davidson	76674
Floyd M. Gardner	160162
Ernst Niebur	64372
Yantao Qiao	100444
Eiichi Yoshida	107452
Nguyen Van Hanh	138395
David N. Card	147904
Stefan Carlsson	33319
Eldar Giladi	78032
Fang Zhong	51715
S. Wyatt	70611
Ryan W. Gardner	143364
Damminda Alahakoon	69640
David F. Marshall	80251
Michael Schab	145390
Sung-Jo Lim	61489
Esther García-Garaluz	66900
Massimo Rimondini	139915
Stephen Winters	16351
Brian Valentine	38722
Eung Tae Kim	22260
J. Danes	4407
Olfa Ben-Sik-Ali	157986
Werner M. Kistler	63814
Antonio del Sol	81693
Chen-Jiu Hsu	134404
Liuyue Wang	42535
Karl-Theodor Kalveram	63759
Van Dao Phan	18298
Chia-Min Lin	52629
Hans-W. Müller-Gärtner	42100
Rafael Verdú Monedero	5103
Ricardo Tesoriero	150529
Cristian C. Phipps	107450
Yoshitaka Nakajima	15990
Roger Kehr	73539
Alexander Schramm	112753
Metin Gunsay	1347
Jorge Calmon de Almeida Biolchini	27562
Tony Lindeberg	219
Luiz Fernando Rust C. Carmo	129618
Victor Raskin	28132
Emmanuelle Soleilhac	91766
Tim Van den Bulcke	51123
Hernan Pedro Vigier	57281
Christian Schillinger	86399
J. M. Friedman	94477
Michael Johnston	36952
Jodi Edwar	60208
Vallabh Sambamurthy	53333
Roslyn N. Brown	103448
Hui Sun Leong	79666
Sundaram Suresh	19948
Antônio P. M. Henriques	66323
Saeed Panahian Fard	66791
John A. Pershing	139789
Soohwan Lee	134620
Ting Sun	5790
Yunfu Shen	109449
Rosa Meo	50356
Daniel A. Charlebois	84450
William David Salisbury	51490
Geoffrey Lefebvre	155034
Magnus Egerstedt	107162
Youssef Hamadi	118547
Adrian Zymolka	117193
Pilar Gómez-Gil	69538
Andrea Rueetschi	159269
Graeme S. V. McDowell	92270
Roozbeh Razavi-Far	65999
Eric Dedrick	5704
Nicolas Frémaux	103533
Alex Galis	138052
S. H. Heisterkamp	79043
Ardemis A. Boghossian	90650
Nisrine Jrad	67391
Radj A. Baldewsing	112591
Zygmunt J. Haas	109701
Libor Behounek	55535
Jussi P. O. Ruutu	140437
K. N. Bhanu Prakash	112195
Fang-Chang Kuo	154696
Allison Druin	71607
Mattias Östergren	73347
Yegui Cai	134577
Miguel Campercholi	57407
KokSheik Wong	19831
Jonathan Fabrizio	61457
Biswanath Bhattacharya	41146
Raphaël Jeanson	51149
Ingo Schiermeyer	120831
Dong-Xing Wang	8497
Frank T. Bergmann	76971
A. W. Dudley Jr.	44902
V. Krishna Rao Kandanvli	20859
Marianne O. Stefanini	104265
Nasser Rezaee	157201
Eshwar Mahenthiralingam	95617
Shamik Ghosh	123757
LeAnn P. Whitney	100086
Harald Gall	73345
Beakcheol Jang	130634
Christopher L. Morris	3639
Herman Nijland	92896
Ken-ichi Takahashi	91784
Oliver P. Wu	127909
D. H. Lenker	47481
Korrai Deergha Rao	19452
Tom A. Veldkamp	32964
Sylvain Boussier	123521
Keith E. Mostov	104915
Keld Bødker	70228
Seyed Ali Ahmadzadeh	133599
Hyukjoon Kwon	133668
Wee Keong Ng	25636
Hwa Chang Sung	57618
Yu Xiaohan	48217
Stephen Soltesz	155014
J. P. Owen	111958
Teppei Ebina	88847
Anders J. Johansson	132646
Dooseop Choi	21280
Bernhard Mitschang	151602
Barbara Putz	10460
Nuri R. Dagdeviren	159390
R. Rossi	129983
Steven D. Travers	111113
Patrick P. C. Lee	129238
Yangkok Kim	122873
Verena Heidrich-Meisner	35465
P. Patrick van der Smagt	42804
J. Tsai	77760
A. Cruz Serra	5875
Satoshi Ohtani	155569
N. Hatsopoulos	63549
Barry Zeeberg	84295
Michael L. Pinedo	119261
Quoc-Tuong Ngo	134674
D. E. Nassar	143156
Marta G. Araujo	75585
Mário de Castro	62557
J. P. Martens	15194
Timothy V. Pyrkov	85828
Francesco Mondada	41569
Arthur L. Castle	101627
Yoosung Kim	85162
Angeles G. Navarro	12265
Animesh Chakravarthy	109004
Kemal Bengi	125169
Bill Salter	115110
Christian Duriez	27162
Jiashun Zheng	94775
Witawas Srisa-an	147884
Jiann-Der Lee	5277
David A. Mondou	148900
Samir Chatterjee	52740
Sungbok Lee	16216
Woo Hyun Ahn	147625
R. C. Woo	116385
Pinar Pir	93568
K. Y. Michael Wong	68886
François Rousseau	50066
Hyun Kyu Chung	134450
Charlotte K. Hemelrijk	50836
Mario Looso	99137
Atle Refsdal	150422
Pragneshkumar Patel	100242
Murali K. Ganapathy	163076
Julio Villalba	1305
Dan Burton	149999
Erin Stretton	39050
Seyda Topaloglu	57690
Gary Hennigan	162511
Ian S. Howard	106052
K. M. Kulkarni	44793
Xuhong Yang	59759
Sebastian Gibb	92014
Ivan Tyukin	43849
Hsing-Kuo Pao	44481
Alpha V. Pernía-Espinoza	42512
Yingqun Yu	131474
Ashley W. Goldsworthy	126174
Jiong Jia	20312
Pei-Huang Lin	57963
Nils Klarlund	124289
Mark A. Livingston	23526
Misha Tsodyks	42971
Mark D. Holmes	41549
V. Rhymend Uthariaraj	138733
Antonio Restivo	120925
Todd E. Hudson	103874
Gi Pyo Nam	62501
Nancy Pennington	149122
Christopher P. Hodges	89979
Wei-Chuan Liu	5097
Patric Hagmann	19957
Viktor Benes	68788
Dai-Qiang Chen	6021
Soon-Ghee Chua	159347
Atsushi Igarashi	124629
Qi Xia	9047
Robert E. Remez	14794
M. R. Stratton	84050
Melanie Dietz	43680
Austin Donnelly	128033
Theresa Zhang	81726
Nelson O. L. Ng	126571
Maurizio Maravalle	123348
Kenneth Basye	39161
Matthew Suderman	83940
Stein W. Wallace	51874
Adel Lofty Ali	38525
Zhenhua Tang	138536
Shi-Wei Lee	137030
Fabrice Poupon	114289
Maciej Mazur	9565
Astrid Undheim	129164
M. N. Wicks	149856
Dianlong Zhang	128006
Yoshiyuki Sowa	104673
Donald G. Janelle	33097
Joel C. Miller	104645
Yi-Wen Fan	52466
Catherine Stringfellow	146767
Athanassios A. Argiriou	41158
Michal Stern	122748
James F. Brinkley	94862
Rui Wang	24216
Franz K. Lankes	24959
Chunmei Liu	126832
Mohiuddin Ahmed	124978
Paul Aplin	32676
Sharon Gannot	14195
Alasdair McAndrew	59855
Pieter P. Jonker	59522
Paul T. Hadavas	122848
Chia-Hsuan Lin	49025
R. A. Blevins	77551
Ted Bapty	74795
Manuel Mattheisen	83133
Michel Denault	118750
Youlu Wang	5308
Ziyu Guan	50129
Turgay Ibrikci	55275
Ariel Orellana	97957
Laurent Tichit	87207
Jian Qi	158160
James Adjaye	103098
Léonard Janer-García	13369
I. Lehmann	161964
Brigitte Grau	70918
Andrés S. Vázquez	61139
Weibin Zheng	55297
John Hammond	99332
Ching-Hsue Cheng	54801
Ubiraci P. C. Neves	64016
C. Ann Dent	46796
Florian Fuchs	87832
John W. Clark	41648
Phee Lep Yeoh	133846
Wolf Siberski	29369
Craig L. Zarmer	152752
Kurt Jörnsten	119310
Bita Shadgar	113106
Aleksandar Takaci	56592
Liqi Han	103838
A. Whitfield	8491
Zhangxi Tan	137555
Miguel A. Gutiérrez-Naranjo	40444
M. Shahjahan	66966
Lan-Sun Shen	46701
Tony C. Pan	75366
Remco Litjens	126825
Robbert van Renesse	136999
Umberto Castellani	25072
Erik Bølviken	47838
G. Jacobson	25797
L. Khouas	115095
Chih-Jen Wu	59682
Tasos Falas	69164
Spiridon Aristides Eliopoulos	146093
Vera Kurvoká	42124
Gheorghe Postelnicu	33533
Daniel S. Graça	40782
Dhong Woon Jang	158819
Jonathan Freeman	71302
Quanquan Gao	109248
Uri Frank	118268
Kuniaki Yosui	19421
Takanori Koga	43280
Takashi Miyajima	63610
Andrew Cheng	46115
Stefan Bekiranov	86897
Thomas Herpel	128845
Hideharu Amano	64593
Mark H. Pausch	81593
Richard K. Martin	21818
Mórna Ní Chonchúir	74103
James A. R. Marshall	50890
Tim Körner	64514
Xiao Zhang	13248
Petko Valtchev	122801
Zhaokun Ma	22226
A. Kai Qin	40375
Kuo-Ching Huang	120956
Elli Kartsakli	132806
William J. Frawley	54195
Ehsan Mokhtari	144755
William S. Denney	104933
Keith Hermiz	126920
Kwok-Ming Yao	90093
Peter Kazanzides	113971
Eli Dichterman	39211
Dimitar Manov	70871
Young Won Lim	46650
Jaeyoung Choi	84771
Kuan-Tsae Huang	135373
Edward G. Cale Jr.	31090
Rodney D. Nielsen	70733
Piotr Uhruski	54732
Simon Wotherspoon	122012
Vivek Tyagi	13388
Hongxing Li	56319
C. X. Zhao	50300
Giuseppe Lisanti	38591
David A. van de Vijver	81998
Bojana Stefanovic	115360
Ian Welch	145109
Chrysi Konstantinou-Kirtay	94835
Ming-Yi Chiu	123019
Alexander V. Golovan	42746
Qi Luo	65593
Vincent Seutin	105156
Tahir Mehmood	100917
Mahmood Amiri	44087
Rachid Hedjam	39054
Bhavan Gandhi	1913
James D. Jones	55219
Andreas T. Ernst	119200
Sheila Podell	95441
Vineet K. Sharma	93713
Rada M. Granovskaya	45859
Tsan-Ching Kang	53186
Christina Y. Hampton	99321
Omer Anson	144854
Jianfeng Liu	48608
Elo Leung	79709
E. Lynn Usery	28490
XiaoDong Lin	159223
Reza Asvadi	159242
Rahul Shukla	2749
Alexander K. Hartmann	100323
Felix M. Mottaghy	42099
Josef Niederle	58094
Andrew Kannenberg	152457
S. Bikmal	112818
KwangJin Park	140812
Leslee Xu	135246
Simon E. Overell	32169
Xavier Défago	150642
Martin Leucker	110515
Marc Solé	129726
Fatma Bayoumi	55340
Wolfgang Lohmann	147188
Junji Nagata	54393
Suping Fang	9999
Vladimir Pasca	156649
J. A. Vilches	123907
Yogesh Singh	63137
Oluwakemi A. Ademoye	12798
Yoshinori Hatori	160474
Diana O. Perkins	99319
Rajendra Singh	65150
Kenneth Nilsson	59992
Elizabeth S. Bentley	12676
Jozef Sirán	122234
Zhifeng Wang	109754
Maria Cristina Lander	29559
Mark Witkowski	71968
Yung-An Kao	20214
Alfred Mallet	106154
Fran?ois Leduc-Primeau	159902
Stephen Russell	52748
M.-A. Garcia da Rocha Neta	12618
Palmer Taylor	105345
Yandong Chu	28420
Dawn J. Lawrie	150324
E. J. Beltrami	141825
Daiki Shinkai	69738
Shi-tong Wang	57079
Rieko Osu	42317
Stephan van der Waart van Gulik	57323
Jorge Ernesto Rodríguez	11206
Michael Lenz	125413
Gudmund Grov	124433
Charl P. Botha	23299
Martine Moine	45517
Travis Goodspeed	146099
Roman L. Tatusov	93789
Anita Lee	30691
V. Medina	45096
Chi-Fong Chou	64443
Vsevolod V. Gurevich	104619
Scott Hutchinson	162510
Kinh Nguyen	150620
Ville Huikari	62284
Yuandan Dong	75516
P. Rogister	63476
Y. Yokoyama	135815
Stefano Ricciardi	113477
Martin G. Bello	331
Eamon B. O'Dea	105995
Willie W. Lu	134935
Hideyuki Ando	74172
Hong-Tao Lu	89022
Lawrence P. Panych	1375
Onno A. van Nierop	24575
Jeff P. Foster	59195
Hiroshi Inazawa	65167
Eric Royer	33709
Ruslan Salakhutdinov	69052
Thomas Harmuth	120817
Wen-Hsing Kuo	12853
Tobias Stammberger	60351
Lingling Pu	3598
Ioan Raicu	156291
Dorota Jagielska	152216
Hiroyuki Masuyama	133969
Hava T. Siegelmann	34816
Amy J. C. Trappey	27570
Sidney Cadot	91964
Juan P. Febles	102852
Maria Carmen Peña Yáñez	114020
Tamer F. Rabie	2481
M. D. Genkin	6663
Hugues Sicotte	85233
Walter Nunziati	37479
Jacob J. van Heijst	41802
Dan Yu	48270
Roland R. Regoes	102260
Ahmed Abd El Al	125028
Efthyvoulos C. Kyriacou	114142
Brent Waters	145273
Darya Chyzhyk	67069
Alon Amar	20374
Christoph Tillmann	37133
Nick Cercone	37108
Lars Karlsson	73256
Wei-Chuan Zhang	50220
S. Y. Chen	4169
Lior Aronshtam	17934
Aaron Doering	72151
Wei-Wen Wu	150727
Nobuyasu Osato	163796
Isabelle Merlet	22311
Marcelo Ris	49862
Tyson Clark	86838
John L. Ramey	149553
Yves Kamp	14542
Lin Kang	110073
Jarle Berntsen	160895
David M. Sobel	44183
Robert I. M. Young	28069
Lamia Karray	1581
Suresh Mathivanan	96330
Michael J. De Smith	32740
